ID,Nombre,Apellido,Fecha de Nacimiento,Género,Dirección,Teléfono,Correo Electrónico,Puesto,Departamento,Fecha de Contratación,Tipo de Contrato,Turno de Trabajo,Supervisor,Estado de Empleo
11,Andrew,Gould,1958-12-05,Femenino,"658 Ramirez Lights
North Andrewmouth, TN 12964",229.268.0153x1728,joannawheeler@example.org,Call centre manager,lOgÍsTicA,2017-03-11,TemPoral,rOTatiVO,Marcus Rodriguez,ACTiVO
12,Madeline,Schaefer,1976-09-26,Femenino,"9103 Brady Highway
Melissabury, IN 60100",(473)568-2002x2594,johnsonjoseph@example.com,Insurance underwriter,adMINiStRaCIÓn,2022-02-01,pErmaNEntE,noctURno,Linda Perez,En LiCEncIA
13,Olivia,Duffy,1967-09-25,Femenino,"906 Jeanne Divide
Youngmouth, ID 85264",(302)579-6530x34260,msimon@example.com,Multimedia specialist,pRoDUccióN,2019-04-09,PErmaNentE,NOCTURNo,Anthony Hunt,ACTivO
14,Teresa,Martin,1991-12-15,Masculino,"7522 Washington Pike
Heatherhaven, WI 43083",+1-963-700-9734x933,arnoldjennifer@example.org,Computer games developer,LOGíStIca,2016-06-02,pERmAneNTe,rOTATivO,Mrs. Janice Young,retIRaDO
15,Jennifer,Alexander,1969-11-02,Femenino,"67211 Jenna Glens
West Billy, VA 93905",+1-262-272-2468x19558,garzaemily@example.org,Warehouse manager,logÍSTICa,2017-10-07,A tIEmpO paRCiAl,DIurnO,Erin Willis,RETirAdo
16,Jamie,Stewart,1981-05-07,Masculino,"5499 Andrews Circle Suite 768
North Donald, PW 35861",914-244-0554x9956,jonathan75@example.com,Hospital doctor,prOduCCIón,2021-05-26,PerMaNentE,RotAtiVo,Miss Yolanda Reynolds,actIVO
17,Brittany,Ramirez,1981-11-14,Femenino,"6326 Mclean Manor
Barbarastad, WI 86400",282-929-9645x30557,bterry@example.org,Advertising account planner,loGÍsTIcA,2018-02-13,A TIeMpO ParcIAl,DIUrnO,Paul Rose,en lICEnCiA
18,Lauren,West,1982-10-01,Femenino,"97013 Harris Village Suite 396
Heatherville, NJ 52576",+1-680-800-8652x4700,underwoodmary@example.com,Financial risk analyst,PRoDuCcIÓN,2016-07-30,TEmPOral,roTATIvO,Jessica Martin,eN LIcENCIA
19,Tiffany,Scott,1990-09-17,Masculino,"080 Morris Manor
Port Jacob, SC 53012",001-240-394-3003x8036,matthew52@example.net,Corporate investment banker,mAntenIMIento,2017-07-03,A TIeMPo PARcIAl,nocTUrNO,Theresa Wilson,ACTIvO
20,Kyle,Robinson,1967-02-22,Femenino,"2816 Richard Bridge
Colemanhaven, VT 50496",+1-504-230-4951x637,idunn@example.net,Medical physicist,PRoDUCCióN,2017-03-13,pERMAnEnTe,rotATIVo,Heather Ramsey,eN LIcencIA
21,Eric,Gardner,1960-07-08,Femenino,"299 Aaron Station
Desireebury, GA 98490",(646)537-3159x19675,russellschmidt@example.org,"Engineer, electronics",CAlIDad,2015-06-27,TemPoRaL,rOTAtIVo,Jason Smith,acTiVO
22,Christine,Wallace,1972-05-20,Masculino,"60247 Bradley Cliff
Lozanobury, MD 43507",(996)368-0243,qpark@example.net,Camera operator,PRODUCCIón,2018-02-07,a tIempO paRCIal,DIURNO,Roberto Carpenter,rEtiRadO
23,Kimberly,Hines,1968-04-16,Masculino,"922 William Springs
East Seanland, MH 35155",(613)801-4499x228,clarkjason@example.org,"Editor, film/video",LOGÍSTIca,2018-06-24,a TIEmpO parCiAL,DiuRno,Kevin Davis,acTivO
24,Regina,Snyder,1997-05-25,Femenino,"565 Fuller Burgs
Douglasstad, IL 98969",938.962.4462,charlesparker@example.net,Holiday representative,MaNTeNimiEnto,2015-11-23,peRMaNeNTe,dIUrnO,Renee Jones,ActIvo
25,Christina,Lee,1999-01-02,Femenino,"71580 Combs Oval
East Jasonfort, KY 44426",499.233.0002,katherinetodd@example.net,Geochemist,ManTENIMIENTo,2021-04-23,temPoral,ROTAtivo,Shawn Crawford,ActIvo
26,Julie,Harris,1997-03-29,Masculino,"Unit 3039 Box 9732
DPO AP 58732",474-895-9940x803,marcuslyons@example.net,Field trials officer,aDMiNIsTRAciÓN,2022-05-03,tEmpORal,diuRno,John Conway,rETIraDo
27,Brian,Vazquez,1996-08-29,Masculino,"0237 Laura Track Apt. 591
Brandttown, ND 25592",255-308-3136x2586,vcastillo@example.com,Structural engineer,MAntenIMIenTO,2024-05-22,Temporal,ROtAtiVo,Laura Stark,acTIvO
28,Tiffany,Morgan,2001-10-03,Femenino,"PSC 5076, Box 2772
APO AE 55823",001-928-205-4943x68520,rjones@example.net,Artist,PrOduccIón,2023-04-10,a TIeMPo pArciAL,rOTAtivo,Christina Mitchell MD,en LICencia
29,Michelle,Brown,1970-04-03,Femenino,"159 Mcdaniel Mountains Apt. 276
Ashleyland, NM 69536",+1-894-628-7650x2667,williamskendra@example.net,Quality manager,CAlIdAd,2020-03-04,TemPorAL,DIuRNo,Lisa Allen,RETirADo
30,Autumn,Gregory,1989-09-26,Masculino,"68319 Carla Ridges Apt. 592
West Maryland, TN 89761",6809556444,juliecoleman@example.com,Dealer,lOgÍsTiCA,2022-12-15,A TIemPO parCIaL,NOctuRno,Andrew Schwartz,REtIrAdO
31,Gerald,Ellison,1966-08-26,Masculino,"50592 Scott Heights Suite 533
Smallchester, PW 41009",(766)933-4555x318,james21@example.org,Retail buyer,CAlidAD,2019-12-26,TemporAl,nOctUrnO,Anthony Malone,ACtivo
32,John,Hall,1980-08-28,Femenino,"088 Robert Street Suite 817
Lake Anthony, OK 89612",925-983-7474x49018,emorales@example.org,Metallurgist,maNtEnimIENTo,2015-09-06,A tIeMPo PArciAl,RoTaTivo,Frank Myers,ActIVo
33,Randy,Walls,1964-10-28,Femenino,"436 Travis Neck
Loriview, VT 58422",+1-878-528-7454x1287,megan70@example.net,Chartered public finance accountant,adminiSTRacióN,2024-02-15,PErMAnEnTe,noCtuRNO,Kim Walker,EN licenciA
34,Robin,Stanley,1998-01-26,Femenino,"3628 Thomas Valley
West Joseberg, SD 49417",(540)787-9605x47910,vjohnson@example.com,Air traffic controller,MAntENimIenTO,2018-11-07,TEMpoRAl,nOcTuRNO,Kathy Schultz,aCTivO
35,Melissa,Martinez,1988-09-23,Femenino,"4440 Wilson Row Suite 715
West Vanessafurt, FM 48672",+1-593-721-7080x89557,ddavis@example.net,Barrister's clerk,ManTENimIEnto,2022-04-18,TeMpoRaL,DIUrNO,Danny Hernandez,en liCENciA
36,Robert,Watts,1978-12-17,Masculino,"USS Ramos
FPO AE 34362",292.736.4426,amy04@example.org,"Geologist, wellsite",CALiDAD,2016-05-29,temPoraL,dIURNO,Scott Barnes,REtIrAdO
37,Melissa,Rodriguez,2004-06-10,Masculino,"1821 Ramos Groves Suite 029
Lake Robertshire, PA 16274",290-204-2040x91089,kathryn35@example.net,Homeopath,mAntEnimIenTO,2018-12-10,teMPORAl,dIuRNO,Karen Li,EN liceNcIA
38,Cassie,Harris,2001-01-03,Femenino,"4596 Smith Summit
Clayfort, ID 39172",561.729.6043x559,xolsen@example.org,"Therapist, occupational",calidAd,2023-02-16,TeMPORAl,DIurnO,Dana Nguyen,ACtIVo
39,Philip,Rivera,1958-08-09,Masculino,"04928 Ortiz Estates
Alanshire, KS 51801",+1-309-279-0401x9981,zhampton@example.net,"Therapist, nutritional",AdmInIstraCión,2018-04-07,TemPORaL,NOCTURNo,John Johnson,eN liCeNcIA
40,Daniel,Reynolds,1976-05-25,Femenino,"Unit 1812 Box 4392
DPO AE 11434",508-305-6813x4625,frankking@example.org,IT consultant,logísTICa,2019-01-09,a tIEmpo parCiaL,roTatIVO,Suzanne Dudley,actIvO
41,Jeremiah,Jacobs,1969-04-18,Masculino,"84614 Amy Ports
Moorestad, AL 26398",+1-357-996-9203x89204,nathanielrivas@example.com,Glass blower/designer,lOgÍsTICA,2016-06-06,A TiEMpO PARcial,DIuRNo,Deborah Smith,AcTIVO
42,James,Walsh,2005-05-12,Femenino,"7076 Little Bridge
East Tamara, RI 29514",001-461-514-1242x11285,ipatterson@example.com,Haematologist,ADMIniSTrAcióN,2016-10-02,TEmPOral,dIurNo,Joshua Watson,AcTiVo
43,Adam,Jensen,1992-02-12,Femenino,"04143 Morales Squares Suite 373
Matthewborough, FM 57710",684.200.2148x1148,wintersronald@example.org,Clinical molecular geneticist,mAnTENImIenTO,2023-04-17,tEmPoRal,nOctURNO,Leonard Smith,ACtIvO
44,Paul,Hernandez,1969-08-11,Masculino,"018 Mason Ford Suite 936
Port Michelleton, CA 47799",402-326-9733,mking@example.net,Adult nurse,PROduccIÓn,2022-03-27,pErmAnENte,rOtAtIvO,Terry Smith,En LIcencia
45,Morgan,Fitzpatrick,1970-04-09,Masculino,"673 Tracy Mission
Allenton, TX 96083",784.610.8780x298,johnny29@example.com,"Teacher, English as a foreign language",cAlIDaD,2023-04-11,teMpoRal,ROtAtivO,Jerome Sanchez,eN licEnCIa
46,Leroy,Martin,1974-05-06,Femenino,"0393 Derek Garden Suite 831
South Michaelchester, HI 21007",(921)706-4830x30832,westmichael@example.net,Accounting technician,PRODUcCIón,2017-01-29,TEmporaL,ROtATIVO,Jessica Brown,aCtivo
47,Ruben,Thompson,1993-08-01,Masculino,"915 Rodriguez Village Suite 922
Hansenmouth, IN 42130",001-852-852-9008x290,lbenton@example.org,IT technical support officer,ADMInISTRAcióN,2022-05-30,TEMpORAl,rOTaTIvO,Shannon Ray,rETiraDO
48,Benjamin,Reed,1989-10-23,Femenino,"035 Harris Island
West Cindytown, SD 35916",8805282368,james36@example.net,Advice worker,mAnTEnimIeNtO,2015-08-30,A tIeMpo parCiAL,roTATiVo,Linda Wilson,aCtiVO
49,Kelly,Rodriguez,1997-07-02,Masculino,"10480 Henderson Forks
Lake Katherinemouth, GA 16782",733.620.6420x716,fballard@example.com,Retail manager,pRoduCCiÓN,2015-12-15,A TiemPo pARCIal,ROTaTiVO,Michael Miller,ACTIVO
50,Mark,Hamilton,1975-04-09,Femenino,"2185 Derrick Groves Suite 121
Hesshaven, MS 30192",733.586.3357x496,yhall@example.net,Dealer,logístIcA,2023-11-03,TemporAl,RoTaTivO,Melissa Pierce,REtiRadO
51,Alexander,Robertson,1967-08-16,Masculino,"62603 Carol Crescent
Port Charles, MT 59579",706.475.9620,igoodman@example.com,Marine scientist,caLIdAD,2014-08-07,a TIempO pArcial,RotatIvO,Catherine Nguyen,REtIRaDo
52,Rhonda,Perry,1994-11-13,Femenino,"USCGC Murray
FPO AE 41594",001-701-300-3614,jesus12@example.com,Gaffer,CaLidaD,2021-09-07,PerManenTE,DIurnO,Brenda Weber,retIrAdo
53,Jason,Gibson,1963-12-03,Femenino,"655 Curtis Centers Apt. 905
Chavezchester, GA 07893",(632)246-8153,lisawillis@example.org,Stage manager,loGístIcA,2024-02-15,a tIEMPo ParcIAL,NOctuRno,Stephanie Matthews,aCtIVo
54,Timothy,Simmons,1979-10-29,Femenino,"95491 Brown Curve
West Geoffreyfort, FM 55120",709.892.3589x681,staceyrush@example.com,Housing manager/officer,CaliDAD,2017-12-20,TEmpOraL,RoTatIVO,Jason Rodriguez,AcTIVO
55,Brandon,Taylor,2002-10-18,Femenino,"9779 Krystal Stravenue
West Wendyburgh, RI 67484",(793)922-9880x8417,oblankenship@example.org,Broadcast engineer,mantENImienTo,2017-09-18,PErmAnENTE,DiURNo,Dominique Ashley,en liCEnCIA
56,Jeffrey,Smith,2004-09-10,Femenino,"970 Theresa Spur Suite 752
New Elizabethbury, OH 36256",982.502.4020x561,donna17@example.net,Web designer,pRODuCcIÓN,2016-06-17,PErMAneNtE,DIurNo,Christopher Perkins,aCtIVo
57,Brenda,Lang,1976-11-29,Femenino,"8553 Pena Square Apt. 517
Wardchester, WA 36611",607-666-0024,elijahchristian@example.org,Building surveyor,LogÍstICA,2019-12-31,A TieMPO ParCIaL,dIuRNo,Linda Ramirez MD,en LIceNCIA
58,James,Steele,1965-03-26,Masculino,"005 Kelly Track
Adkinsfort, PR 47335",410.566.2221x1261,clarkmarvin@example.org,Child psychotherapist,AdMIniSTraCIóN,2018-07-05,A TIEmPO pARCiAL,RotAtIvO,Michael Campbell,en LicEncIA
59,Becky,Ibarra,2002-10-14,Femenino,"2780 Wesley Gardens Apt. 245
Keithberg, FL 81333",001-971-727-4093x035,kelli18@example.org,Dealer,ADmiNIStRACiÓn,2017-01-19,a tiEmpO paRcIaL,rOTaTiVo,Katrina Schultz,en LIcEnCia
60,Carla,Smith,1975-01-14,Masculino,"0242 Stephen Greens
Johnsontown, GA 13302",001-635-630-9747,ctaylor@example.net,Public relations officer,PRoDUCcIÓn,2022-03-25,TempoRal,noctuRno,Samantha Mooney,eN licEnCiA
61,Sean,Grimes,1971-02-26,Femenino,"9040 Griffin Road
Robertsonhaven, OH 98077",+1-862-524-1961,icharles@example.net,Ambulance person,calidaD,2023-07-14,TempoRaL,dIuRnO,Joseph Smith,EN lICenCiA
62,Vanessa,Miller,1982-03-08,Femenino,"36657 Tracy Run
South Alexanderbury, WI 93353",200.785.9112x84236,ryan98@example.org,"Designer, blown glass/stained glass",PROduCción,2016-12-30,pErMANente,rOTatIvo,Susan Trujillo,AcTIVo
63,Louis,Sims,1996-10-05,Femenino,"458 White Brook Suite 463
Rogersport, DE 07907",001-211-501-8738,jeremiah64@example.com,"Psychologist, prison and probation services",LOGÍSTica,2020-11-18,TeMPOrAl,rotAtiVO,James Brewer,acTiVO
64,Cathy,Meyer,1966-10-20,Femenino,"80957 Tammy Burgs Suite 040
West Jeffrey, IN 33121",001-665-454-5032,fnorton@example.org,"Designer, blown glass/stained glass",AdMINiStRACIÓn,2018-10-13,A TiempO PARciAl,NOCtURNo,Timothy Sloan,ACtIVO
65,Victoria,Collins,1973-04-14,Femenino,"2380 Joshua Walks Suite 914
New Xavier, UT 99448",939-725-1533x1836,ksmith@example.com,"Librarian, public",PROdUCCióN,2020-03-01,A TiEmPo ParCial,DIURNO,Charles Wilson,En lICenCia
66,Natalie,Johnson,1966-07-23,Femenino,"27057 White Hollow
Sanchezfurt, CT 39103",+1-257-816-2883x075,susanblackwell@example.com,Newspaper journalist,lOGíSTicA,2018-08-17,A TiEMpO PaRcIAL,noCtUrNO,Angel Campos,RETirado
67,Jeffrey,Werner,1995-09-11,Masculino,"51954 Sullivan Alley
West Rhonda, MH 69077",373.237.2225x3175,chaveznathan@example.org,Best boy,AdmInIstraciÓn,2016-09-27,pErmANENTe,diURNo,Sean Jordan,en liCEnCia
68,Jane,Brown,1988-11-24,Femenino,"05177 Heidi Camp Apt. 767
Tracyside, NY 16753",(732)695-0537,dmoore@example.net,"Engineer, manufacturing systems",MantENIMIEnto,2016-04-06,A TIemPO PaRCiAL,DIUrNO,Arthur Stokes,En lIcEncia
69,Kenneth,Wu,1968-10-22,Masculino,"642 Riley Drive
Desireeton, WA 30176",001-563-306-8108x8093,raymond41@example.net,Fine artist,PrODUCciÓN,2023-08-05,A tiEMpo PArciAl,rOtaTivO,David Morrow,ACTiVo
70,Chris,Davis,2003-06-29,Masculino,"439 Randy Lane
East Michael, PW 39106",232-243-2306,xlee@example.net,"Scientist, product/process development",mANtENImiENtO,2023-04-02,TEmporaL,noCturno,Judith Herring,En licEnCiA
71,Jason,Parker,1998-05-02,Femenino,"31715 Peters Walks Suite 558
West Gary, ND 40137",(495)809-4104x156,washingtontravis@example.com,Homeopath,admInisTraCIÓn,2023-06-11,perMANENTe,nOCtUrNO,Courtney Cooper,RetiRado
72,Melissa,Huff,1971-11-24,Masculino,"650 Christopher Shore Suite 351
Williamsville, MO 93625",827.732.8312,taylorcheryl@example.com,Health service manager,prodUcCiÓN,2023-07-15,tEmPOraL,NOcTuRNo,Shelley Oliver,activO
73,Brian,Johnson,1958-07-18,Masculino,"45534 Maria Lane Apt. 049
Sharonhaven, VI 42716",+1-660-419-6926x51222,courtney60@example.com,"Development worker, community",admInIStracIÓn,2014-09-20,TEmPoraL,RoTAtIvO,Zachary Boyer,eN LiceNciA
74,Ronnie,Johnson,1967-01-14,Femenino,"25381 Elizabeth Center
Lake Terryburgh, VI 00906",657.208.0497x0120,tarasexton@example.com,Fisheries officer,LOGÍSTICa,2019-05-06,PErMAneNte,nOctUrNO,Nathan Vasquez,EN LIcENCIA
75,Charles,Bennett,1991-11-25,Femenino,"642 Lisa Dam Suite 673
Angelaview, NJ 61822",+1-679-601-6571x8842,jessicahamilton@example.org,Retail manager,adMiNISTrAcIóN,2016-08-31,TEMpoRAl,noCTuRNo,Lauren Diaz,AcTiVo
76,Nicole,Marsh,1969-06-22,Masculino,"258 Lee Forge
Ayerschester, AL 49275",001-485-619-1723,zjohnson@example.org,"Teacher, special educational needs",aDMiNisTRacIÓn,2015-12-07,pErmanEnte,rOtAtiVo,Allison Kim,ReTIrADo
77,Aaron,Brown,1966-01-08,Femenino,"5693 Jennifer Cliffs Suite 088
Johnsonland, NV 69283",(809)966-8073,jodirivera@example.com,Illustrator,ADMINISTRACiÓn,2017-09-04,peRmanENte,roTaTIvo,Donald Stone,retirAdO
78,David,Tucker,1995-10-21,Femenino,"789 Jones Burg Apt. 841
Whiteberg, KS 93811",241-666-4754x299,walkerlisa@example.org,Animal technologist,aDMINIStRacIÓn,2015-11-01,PermANenTE,roTatIvo,Gary Pierce,rETiRado
79,Richard,Dalton,1998-08-22,Masculino,"97677 Carl Fields Suite 339
Peterburgh, ID 67861",+1-462-447-6283x8862,wilsoneric@example.com,Health service manager,MaNTEnimiEnTo,2021-08-12,temPORal,rotaTivO,Brian Lester,AcTivo
80,Connie,Cruz,1988-07-14,Femenino,"9467 Katie Manors Apt. 119
North Lauraside, MH 33316",9369849792,bacosta@example.com,Network engineer,loGÍSTIcA,2021-03-09,pERmANENTE,NOcTUrno,Justin Murray,acTIvo
81,Adam,Richard,1976-10-12,Femenino,"1610 Richard Field Suite 703
Butlerhaven, WY 53246",+1-569-263-4971,steven74@example.org,"Engineer, site",adminisTRacIÓn,2023-07-09,A tiEmPO PArCiAl,RotatIVo,Keith Torres,En lIcenCIa
82,Kimberly,Tyler,1973-09-28,Femenino,"5112 Tiffany Mountains
Port Sandra, NC 54721",815.699.2370,torreslouis@example.com,"Engineer, maintenance (IT)",LoGíSTICA,2021-10-18,tEMPOral,roTaTiVo,Sherri Mason,eN licEnciA
83,Miranda,Carter,1995-09-10,Masculino,"PSC 8548, Box 9042
APO AA 54353",(452)691-0609x4370,isaacwilson@example.org,Photographer,mAnteNImIENTO,2023-12-28,tEMPoraL,noCtURNO,Mr. Christopher Hammond Jr.,reTirADO
84,Chad,Ayers,1969-01-03,Femenino,"819 Jacob Shoal
Roberttown, GA 26722",(534)408-0347x355,watsondavid@example.org,Sport and exercise psychologist,ProDUCcIón,2024-06-24,teMpoRal,DIUrnO,Jason Ramirez,ReTIRaDO
85,Tyler,Jordan,1971-01-03,Masculino,"Unit 5787 Box 2688
DPO AA 18350",+1-316-923-5464,cgutierrez@example.com,Ranger/warden,aDMinistRacIón,2024-02-24,temPorAl,RoTativo,David Hall,rEtiradO
86,Angela,Bird,1963-04-05,Masculino,"USS Wolf
FPO AP 39368",206.621.6775x77867,pattersonisaiah@example.net,Television floor manager,MANteNimIENto,2020-08-26,A TiEMPo pARCIal,RotAtivO,Kayla Williams,AcTivo
87,Anthony,Carroll,2001-11-15,Femenino,"47187 Mahoney Point Apt. 711
Port Tylerport, AR 08651",255.968.2710x82665,mcobb@example.net,Politician's assistant,PRoDUCCIóN,2016-01-21,PErManEnte,DiurNo,Jason Roberts,EN liceNCiA
88,Maria,Weaver,1968-02-09,Femenino,"307 Guerra Crest Apt. 015
Jamieburgh, SD 45114",001-437-673-3502x799,grivers@example.com,Lobbyist,CalIdad,2019-10-20,PeRmAnEnTe,dIUrno,Brian Austin,ActIVo
89,Brian,Clark,1978-05-12,Masculino,"3177 Newton Skyway Suite 946
East Marymouth, KS 92671",(623)962-6010,megan33@example.com,Energy engineer,aDmiNisTRaciÓN,2015-12-02,TeMPorAL,noCtURNO,Alexander Rosario,RetIrAdO
90,Michelle,Payne,1991-11-09,Femenino,"13481 Erickson Stravenue Apt. 492
Nicholasstad, WA 63077",774.428.0580x3355,theresaharris@example.com,Biomedical engineer,MaNTEnimiEnTO,2023-08-19,peRmanENtE,RoTatIVo,Catherine Roberts,Activo
91,Michael,Ingram,1976-08-09,Masculino,"81260 Paul Locks Suite 580
Aguirreside, DE 32957",+1-275-519-2120x86959,taylorholly@example.com,"Engineer, automotive",adminiStraCióN,2020-11-13,PeRMAneNTE,DIUrNo,Jose Gomez,AcTIvo
92,Joshua,Wiley,2006-06-24,Masculino,"2662 Zachary Prairie
Tristanland, NY 27545",+1-498-278-8285x508,carl80@example.net,Educational psychologist,PrODucción,2017-01-01,A TiEMpO pArCial,rOtATiVo,Maria Duncan,RETirADO
93,Robin,Hampton,1987-01-25,Femenino,"172 Jones Via
Olsenberg, MI 52453",001-247-355-8628,janice38@example.net,"Education officer, community",AdMINISTracióN,2020-10-29,a TiEmPO PaRCIaL,ROtATIvo,Kathy Thompson,AcTiVO
94,Virginia,Adams,1964-02-16,Masculino,"76315 Rose Locks
South Joshuafurt, IN 52958",572.642.7980x8410,jennifer61@example.net,"Scientist, marine",cALIdAD,2019-12-28,A tieMpo PaRciaL,nocTUrnO,Jill Taylor,rETIRADo
95,Andrew,Watts,1964-10-12,Femenino,"6366 Chung Corner
North Kathleenburgh, OK 07635",(516)377-4198,nathankemp@example.net,Futures trader,proDUCCIÓN,2023-01-25,A TieMpO PARCial,NOcTurNo,David Palmer,rEtiRadO
96,Cory,Foster,1973-07-30,Femenino,"9133 Martin Crossroad Apt. 171
Samanthaville, UT 45540",3089622818,hevans@example.com,Purchasing manager,PRODUCCióN,2022-03-30,PerMAneNtE,DIurNO,Laura Mercer,ReTirADo
97,Toni,Lawson,2002-03-22,Femenino,"241 Sherry Freeway
Lake Alvinchester, ND 93214",507-371-4828x860,katherine47@example.net,"Presenter, broadcasting",mAnTENIMIENto,2023-05-29,pERMAneNTE,RotatIvO,Victoria Shaw,EN LIceNCIA
98,Caitlin,Douglas,1993-07-15,Femenino,"6835 Danielle Crest Suite 980
Lake Donald, OK 37197",588.616.9404,blyons@example.com,"Education officer, community",MaNtEnimiEntO,2015-06-23,A TiEMpo PARcIAl,NoctUrno,April Douglas,RETirADo
99,Jeffrey,Johnson,1984-06-10,Femenino,"7103 Allen Circles Apt. 259
New Michaelmouth, GU 07263",656-719-1241x4948,martinkaren@example.com,IT technical support officer,MANTENIMieNto,2022-11-01,TemPOrAl,NoctuRNO,Terrance Walker,ACtIvo
100,Ryan,Allen,1984-09-05,Masculino,"640 Helen Station Apt. 995
East Sandy, NJ 53024",554.451.3473,wjones@example.net,Volunteer coordinator,CaliDAd,2023-09-14,a tIeMpO pArCIAL,diUrnO,Joseph Rivas,En liCencIA
101,Mia,Davis,1998-07-07,Masculino,"7514 White Locks Suite 663
Raymondhaven, NV 39237",001-262-905-6978x40175,robertgutierrez@example.org,Scientific laboratory technician,calidAd,2024-03-14,A TIeMPo parcIAL,DIuRNo,Kimberly Jones,EN LICenCiA
102,Eric,Rollins,1989-04-22,Femenino,"97048 Sandra Court Suite 133
New Michaelchester, DC 58244",+1-382-414-4009x7964,amandaoliver@example.org,Animal technologist,MAnteNImieNTo,2019-05-11,TempoRAl,nocTurNo,Mckenzie Drake,ActivO
103,Joshua,Duran,2002-04-09,Masculino,"Unit 5822 Box 6492
DPO AE 81608",855.655.3163x04921,nielsenpamela@example.net,Environmental consultant,maNTENiMIeNtO,2019-08-01,a TiEmpO ParciaL,DiurNO,Joseph Wood,retirAdO
104,Kevin,Sanchez,1985-12-03,Masculino,"94530 David Station
North Rogerville, NJ 78059",001-213-985-1178x3250,gabrielavery@example.com,Music therapist,mAnteNimIEnto,2024-04-24,A TiEmPo pArcIAl,nocTUrNo,Susan Evans,aCtIvO
105,Cory,Hodges,1966-09-15,Masculino,"6071 Terri Pike Suite 149
Sawyerland, ND 03977",+1-560-956-8471x906,robert72@example.org,Youth worker,loGÍsTIcA,2020-11-23,A tIEmpO pArciAL,DIuRNO,Christopher Herrera,reTIrADo
106,Virginia,Grant,2002-08-08,Femenino,"USS Mcdonald
FPO AE 07516",001-267-635-0070x3020,shughes@example.net,"Sound technician, broadcasting/film/video",adMinIStRACiÓn,2020-04-15,peRMaNeNTE,RoTaTIVo,Shelly Peters,AcTiVO
107,Patrick,White,1961-09-14,Masculino,"856 Campbell Parkways Apt. 535
Port Crystal, AS 51855",866-898-4820x5527,matthew02@example.net,"Engineer, aeronautical",MaNteNImieNTo,2016-12-13,a TieMpo parCiaL,dIUrnO,Ryan Braun,RETIRado
108,Kevin,Brown,1983-02-21,Masculino,"15309 Dorothy Causeway Apt. 553
East Christinaton, VI 48745",(379)466-4042,crawfordmadison@example.org,Advertising account planner,manteNIMIENTo,2024-05-26,TEmporaL,ROTaTiVO,Sydney Mcdonald,En LIcEnCiA
