Date,Person,Punctuation,Time_taken
2024-09-26,María,86,2.0
2024-04-25,María,91,2.0
2024-11-02,María,86,4.0
2024-05-28,María,86,6.0
2024-04-18,María,74,2.0
2024-05-22,María,88,8.0
2024-12-26,María,85,7.0
2024-03-25,María,87,5.0
2024-01-29,María,98,3.0
2024-04-20,María,73,4.0
2024-07-11,María,92,5.0
2024-01-11,María,88,6.0
2024-06-25,María,71,7.0
2024-09-29,María,71,6.0
2024-11-08,Pedro,81,3.0
2024-07-25,Pedro,71,5.0
2024-11-23,Pedro,93,3.0
2024-11-04,Pedro,76,2.0
2024-01-07,Pedro,70,3.0
2024-01-30,Pedro,87,4.0
2024-08-28,Pedro,98,2.0
2024-04-23,Pedro,91,7.0
2024-10-01,Pedro,84,4.0
2024-08-04,Pedro,100,6.0
2024-10-25,Pedro,74,8.0
2024-11-22,Pedro,82,7.0
2024-07-04,Pedro,88,2.0
2024-11-08,Pedro,74,7.0
2024-07-06,Pedro,87,4.0
2024-07-10,Pedro,87,1.0
2024-05-05,Pedro,81,6.0
2024-12-19,Pedro,89,8.0
2024-04-19,Pedro,100,8.0
2024-09-22,Pedro,91,3.0
2024-02-07,Pedro,75,1.0
2024-05-18,Pedro,75,6.0
2024-06-12,Pedro,74,2.0
2024-05-01,Pedro,87,5.0
2024-11-07,Pedro,94,8.0
2024-11-01,Pedro,84,6.0
2024-11-02,Pedro,99,5.0
2024-09-21,Pedro,72,2.0
2024-03-21,Pedro,79,7.0
2024-04-08,Pedro,76,3.0
2024-10-01,Pedro,100,1.0
2024-04-06,Pedro,72,6.0
2024-02-12,Pedro,80,6.0
2024-08-26,Pedro,75,8.0
2024-12-12,Pedro,87,4.0
2024-11-08,Pedro,87,6.0
2024-06-29,Pedro,87,5.0
2024-10-23,Pedro,76,8.0
2024-08-22,Pedro,81,7.0
2024-06-28,Pedro,78,7.0
2024-05-11,Pedro,90,2.0
2024-05-20,Pedro,92,8.0
2024-02-11,Pedro,99,4.0
2024-03-06,Pedro,94,7.0
2024-04-03,Pedro,98,5.0
2024-02-06,Pedro,82,8.0
2024-07-14,Pedro,78,4.0
2024-01-17,Pedro,99,8.0
2024-05-02,Pedro,93,6.0
2024-07-31,Pedro,82,1.0
2024-08-06,Pedro,86,3.0
2024-05-23,Pedro,100,2.0
2024-09-10,Pedro,86,2.0
2024-07-05,Pedro,99,1.0
2024-04-20,Pedro,79,4.0
2024-09-04,Pedro,98,8.0
2024-04-22,Pedro,93,2.0
2024-12-02,Pedro,71,3.0
2024-05-11,Pedro,94,4.0
2024-07-25,Pedro,79,8.0
2024-03-23,Pedro,79,5.0
2024-12-30,Pedro,85,1.0
2024-10-09,Pedro,73,8.0
2024-05-27,Pedro,71,8.0
2024-02-20,Pedro,91,4.0
2024-07-30,Pedro,90,8.0
2024-04-10,Pedro,100,1.0
2024-10-19,Pedro,96,7.0
2024-06-02,Pedro,83,2.0
2024-01-10,Pedro,83,8.0
2024-07-25,Pedro,76,2.0
2024-07-05,Pedro,81,6.0
2024-11-12,Pedro,84,2.0
2024-07-16,Pedro,89,4.0
2024-12-16,Pedro,74,8.0
2024-05-03,Pedro,74,5.0
2024-06-14,Pedro,89,6.0
2024-11-26,Pedro,71,8.0
2024-07-02,Pedro,74,5.0
2024-04-15,Pedro,99,1.0
2024-06-21,Pedro,88,1.0
2024-05-02,Pedro,98,1.0
2024-04-08,Pedro,73,6.0
2024-12-20,Pedro,100,1.0
2024-12-03,Pedro,78,3.0
2024-04-11,Pedro,97,5.0
2024-01-12,Pedro,88,3.0
2024-04-13,Pedro,80,3.0
2024-07-28,Pedro,81,8.0
2024-10-30,Pedro,93,1.0
2024-08-06,Pedro,94,1.0
2024-04-10,Pedro,99,4.0
2024-02-09,Pedro,75,8.0
2024-03-15,Pedro,89,8.0
2024-07-19,Pedro,93,2.0
2024-10-01,Pedro,82,5.0
2024-04-13,Pedro,97,8.0
2024-09-14,Pedro,97,3.0
2024-07-21,Pedro,83,2.0
2024-09-24,Pedro,91,1.0
2024-04-22,Ana,99,5.0
2024-07-25,Ana,93,6.0
2024-09-04,Ana,73,3.0
2024-05-08,Ana,98,5.0
2024-08-25,Ana,74,2.0
2024-08-07,Ana,79,5.0
2024-04-21,Ana,83,3.0
2024-11-18,Ana,71,8.0
2024-11-16,Ana,75,6.0
2024-05-21,Ana,74,6.0
2024-05-02,Ana,100,4.0
2024-06-16,Ana,83,4.0
2024-08-28,Ana,100,4.0
2024-02-28,Ana,96,4.0
2024-11-30,Ana,99,4.0
2024-11-18,Ana,93,1.0
2024-03-28,Ana,71,7.0
2024-05-31,Ana,77,6.0
2024-02-29,Ana,70,7.0
2024-05-08,Ana,90,6.0
2024-06-13,Ana,91,4.0
2024-07-02,Ana,99,8.0
2024-03-21,Ana,87,5.0
2024-12-23,Ana,99,1.0
2024-04-01,Ana,87,4.0
2024-09-18,Ana,93,4.0
2024-01-21,Ana,88,7.0
2024-05-08,Ana,75,2.0
2024-02-08,Ana,98,7.0
2024-02-16,Ana,82,7.0
2024-02-09,Ana,81,8.0
2024-06-25,Ana,73,1.0
2024-04-24,Ana,77,5.0
2024-11-09,Ana,90,5.0
2024-01-15,Ana,77,4.0
2024-11-16,Ana,94,8.0
2024-01-19,Ana,84,5.0
2024-01-31,Ana,72,3.0
2024-05-18,Ana,73,2.0
2024-04-14,Ana,86,2.0
2024-12-30,Ana,94,6.0
2024-05-23,Ana,95,6.0
2024-05-19,Ana,81,4.0
2024-03-05,Ana,98,4.0
2024-01-31,Ana,87,3.0
2024-12-09,Ana,93,7.0
2024-01-15,Ana,90,6.0
2024-06-26,Ana,95,5.0
2024-02-10,Ana,100,3.0
2024-06-22,Ana,87,1.0
2024-05-12,Ana,77,3.0
2024-10-12,Ana,70,7.0
2024-12-17,Ana,93,1.0
2024-03-21,Ana,78,1.0
2024-02-15,Ana,93,6.0
2024-02-19,Ana,81,5.0
2024-05-24,Ana,85,6.0
2024-04-19,Ana,99,6.0
2024-12-23,Ana,73,7.0
2024-04-05,Ana,86,4.0
2024-02-11,Ana,82,2.0
2024-08-26,Ana,96,1.0
2024-03-11,Ana,74,6.0
2024-07-29,Ana,85,6.0
2024-04-17,Ana,96,2.0
2024-12-16,Ana,80,8.0
2024-02-29,Ana,98,5.0
2024-01-01,Ana,92,6.0
2024-09-14,Ana,97,4.0
2024-09-03,Ana,96,6.0
2024-04-16,Ana,74,6.0
2024-07-12,Ana,78,1.0
2024-05-11,Ana,74,6.0
2024-11-07,Ana,86,4.0
2024-04-15,Ana,95,7.0
2024-10-03,Ana,87,8.0
2024-06-30,Ana,91,8.0
2024-03-19,Ana,79,2.0
2024-08-06,Ana,99,4.0
2024-01-15,Ana,78,8.0
2024-07-31,Ana,89,7.0
2024-03-27,Ana,85,5.0
2024-01-27,Ana,97,8.0
2024-12-23,Ana,81,4.0
2024-09-14,Ana,100,5.0
2024-10-07,Ana,74,6.0
2024-07-20,Ana,74,3.0
2024-12-01,Ana,82,7.0
2024-03-30,Ana,91,6.0
2024-08-29,Ana,74,1.0
2024-05-29,Ana,74,3.0
2024-11-08,Ana,91,2.0
2024-07-08,Ana,75,1.0
2024-04-28,Ana,82,5.0
2024-03-25,Ana,79,4.0
2024-08-09,Ana,71,1.0
2024-06-24,Ana,85,2.0
2024-11-03,Ana,96,5.0
2024-12-24,Ana,79,3.0
2024-01-15,Ana,90,2.0
2024-06-17,Luis,96,2.0
2024-07-10,Luis,82,4.0
2024-03-13,Luis,89,8.0
2024-11-27,Luis,86,2.0
2024-04-09,Luis,83,1.0
2024-02-17,Luis,76,2.0
2024-07-20,Luis,79,5.0
2024-12-19,Luis,70,1.0
2024-07-25,Luis,77,1.0
2024-06-10,Luis,100,
2024-09-24,Luis,76,
2024-02-12,Luis,80,5.0
2024-10-21,Luis,77,8.0
2024-08-15,Luis,100,8.0
2024-07-06,Luis,94,6.0
2024-07-09,Luis,70,8.0
2024-01-06,Luis,78,4.0
2024-09-02,Luis,86,
2024-04-15,Luis,87,
2024-11-24,Luis,89,
2024-02-21,Luis,96,1.0
2024-12-09,Luis,76,2.0
2024-12-04,Luis,94,
2024-08-27,Luis,90,7.0
2024-10-06,Luis,95,
2024-05-01,Luis,99,3.0
2024-04-08,Luis,92,7.0
2024-04-06,Luis,71,6.0
2024-07-31,Luis,91,
2024-03-21,Luis,96,
2024-06-21,Luis,92,8.0
2024-02-23,Luis,99,3.0
2024-01-27,Luis,87,7.0
2024-08-21,Luis,83,4.0
2024-05-08,Luis,74,8.0
2024-09-04,Luis,94,8.0
2024-07-15,Luis,77,7.0
2024-02-06,Luis,71,6.0
2024-07-31,Luis,97,6.0
2024-03-14,Luis,85,3.0
2024-10-24,Luis,75,1.0
2024-08-12,Luis,74,4.0
2024-12-12,Luis,86,5.0
2024-09-23,Luis,84,
2024-08-25,Luis,76,8.0
2024-01-04,Luis,94,7.0
2024-07-27,Luis,93,
2024-09-19,Luis,95,3.0
2024-09-08,Luis,91,
2024-01-20,Luis,80,4.0
2024-06-19,Luis,73,
2024-05-23,Luis,90,7.0
2024-11-15,Luis,83,4.0
2024-07-23,Luis,94,
2024-09-27,Luis,96,2.0
2024-01-17,Luis,94,
2024-07-12,Luis,83,7.0
2024-06-19,Luis,89,5.0
2024-11-07,Luis,97,5.0
2024-10-11,Luis,91,1.0
2024-09-21,Luis,81,
2024-04-02,Luis,84,2.0
2024-03-12,Luis,77,7.0
2024-07-13,Luis,82,3.0
2024-06-25,Luis,87,8.0
2024-06-30,Luis,95,6.0
2024-09-08,Luis,100,8.0
2024-05-11,Luis,73,6.0
2024-04-16,Luis,74,4.0
2024-04-08,Luis,90,2.0
2024-09-16,Luis,82,8.0
2024-03-05,Luis,87,6.0
2024-06-21,Luis,78,5.0
2024-09-27,Luis,72,2.0
2024-02-17,Luis,85,7.0
2024-09-19,Luis,80,4.0
2024-08-31,Luis,79,8.0
2024-06-12,Luis,93,4.0
2024-01-08,Luis,82,3.0
2024-11-11,Luis,95,5.0
2024-04-29,Luis,80,
2024-04-10,Luis,80,2.0
2024-12-08,Luis,72,
2024-06-11,Luis,70,1.0
2024-04-17,Luis,97,3.0
2024-01-21,Luis,95,4.0
2024-09-14,Luis,72,7.0
2024-09-21,Luis,92,1.0
2024-02-17,Luis,91,5.0
2024-08-28,Luis,78,
2024-12-16,Luis,95,6.0
2024-08-26,Luis,94,7.0
2024-03-27,Luis,96,
2024-02-12,Luis,80,7.0
2024-10-19,Luis,98,8.0
2024-10-22,Luis,71,2.0
2024-02-19,Luis,81,5.0
2024-07-24,Luis,87,7.0
2024-08-29,Luis,74,3.0
2024-03-02,Luis,70,6.0
