Date,Person,Punctuation,Time_taken
2024-07-30,Ana,90,
2024-09-04,Ana,83,6.0
2024-04-03,Ana,85,4.0
2024-06-09,Ana,87,7.0
2024-07-30,Ana,97,8.0
2024-05-16,Ana,78,8.0
2024-01-14,Ana,90,1.0
2024-03-20,Ana,88,4.0
2024-09-13,Ana,98,1.0
2024-02-11,Ana,85,5.0
2024-01-17,Ana,82,
2024-03-18,Ana,94,4.0
2024-06-08,Ana,86,7.0
2024-03-24,Ana,90,6.0
2024-06-28,Ana,78,6.0
2024-02-20,Ana,80,4.0
2024-05-01,Ana,71,7.0
2024-08-03,Ana,79,8.0
2024-01-26,Ana,84,
2024-01-14,Ana,71,3.0
2024-03-26,Ana,89,4.0
2024-01-21,Ana,97,
2024-05-18,Ana,94,3.0
2024-08-10,Ana,99,2.0
2024-03-04,Ana,99,4.0
2024-10-25,Ana,89,8.0
2024-03-01,Ana,91,3.0
2024-12-02,Ana,93,
2024-04-19,Ana,92,6.0
2024-10-13,Ana,89,3.0
2024-06-25,Ana,99,
2024-11-02,Ana,98,
2024-09-23,Ana,96,8.0
2024-01-06,Ana,90,5.0
2024-03-09,Ana,88,6.0
2024-03-25,Ana,88,8.0
2024-09-04,Ana,78,1.0
2024-04-23,Ana,73,
2024-09-18,Ana,89,3.0
2024-11-07,Ana,86,3.0
2024-01-16,Ana,98,3.0
2024-01-15,Ana,77,3.0
2024-10-30,Ana,75,
2024-07-06,Ana,94,2.0
2024-02-03,Ana,94,2.0
2024-05-14,Ana,87,6.0
2024-12-01,Ana,75,5.0
2024-07-17,Ana,79,2.0
2024-11-19,Ana,76,8.0
2024-05-25,Ana,96,5.0
2024-12-24,Ana,79,
2024-12-06,Ana,79,4.0
2024-08-24,Ana,80,1.0
2024-10-04,Ana,100,1.0
2024-04-26,Ana,80,4.0
2024-02-27,Ana,74,1.0
2024-05-11,Ana,96,1.0
2024-07-24,Ana,81,7.0
2024-06-18,Ana,96,3.0
2024-11-03,Ana,87,7.0
2024-09-18,Ana,72,
2024-02-25,Ana,75,8.0
2024-07-01,Ana,100,5.0
2024-05-06,Ana,78,2.0
2024-09-14,Ana,74,1.0
2024-05-12,Ana,89,7.0
2024-11-10,Ana,76,8.0
2024-09-24,Ana,81,2.0
2024-03-31,Ana,89,2.0
2024-02-07,Ana,83,5.0
2024-05-01,Ana,80,4.0
2024-07-10,Ana,87,1.0
2024-05-22,Ana,99,
2024-05-05,Ana,99,7.0
2024-07-27,Ana,94,6.0
2024-02-18,Ana,87,
2024-05-23,Ana,93,7.0
2024-05-29,Ana,83,5.0
2024-12-05,Ana,96,2.0
2024-08-07,Luis,99,4.0
2024-04-01,Luis,72,8.0
2024-07-11,Luis,99,6.0
2024-07-21,Luis,74,8.0
2024-02-17,Luis,88,2.0
2024-08-24,Luis,99,8.0
2024-08-23,Luis,97,8.0
2024-05-04,Luis,83,2.0
2024-09-22,Luis,90,6.0
2024-07-16,Luis,91,5.0
2024-09-22,Luis,92,1.0
2024-05-08,Luis,84,7.0
2024-02-16,Luis,78,8.0
2024-11-12,Luis,93,3.0
2024-04-08,Luis,78,5.0
2024-05-18,Luis,90,6.0
2024-10-01,Luis,78,5.0
2024-07-08,Luis,88,2.0
2024-07-07,Luis,81,2.0
2024-11-03,Luis,78,1.0
2024-11-09,Luis,91,5.0
2024-01-05,Luis,91,6.0
2024-10-13,Luis,79,5.0
2024-01-14,Luis,78,6.0
2024-09-01,Luis,79,3.0
2024-07-30,Luis,91,6.0
2024-12-20,Luis,79,4.0
2024-10-31,Luis,80,7.0
2024-10-01,Luis,81,6.0
2024-04-18,Luis,96,2.0
2024-06-03,Luis,95,3.0
2024-06-13,Luis,99,6.0
2024-02-12,Luis,74,6.0
2024-02-21,Luis,90,8.0
2024-06-14,Luis,74,1.0
2024-07-14,Luis,75,2.0
2024-09-05,Luis,70,2.0
2024-02-17,Luis,92,1.0
2024-12-02,Luis,100,5.0
2024-07-30,Luis,71,8.0
2024-06-16,Luis,96,2.0
2024-06-11,Luis,95,1.0
2024-01-06,Luis,91,5.0
2024-12-22,Luis,96,1.0
2024-05-29,Luis,99,7.0
2024-11-24,Luis,91,6.0
2024-01-03,Luis,82,1.0
2024-10-08,Luis,72,4.0
2024-07-01,Luis,80,5.0
2024-08-18,Luis,92,8.0
2024-11-29,Luis,70,1.0
2024-09-16,Luis,71,2.0
2024-08-20,Luis,87,3.0
2024-06-29,Luis,75,4.0
2024-11-15,Luis,86,8.0
2024-08-24,Luis,79,5.0
2024-04-08,Luis,92,1.0
2024-02-14,Luis,86,8.0
2024-06-09,Luis,82,2.0
2024-09-21,Luis,94,1.0
2024-03-27,Luis,86,4.0
2024-06-23,Luis,93,1.0
2024-12-11,Luis,73,4.0
2024-12-08,Luis,74,3.0
2024-02-04,Luis,72,1.0
2024-02-24,Luis,98,8.0
2024-10-15,Luis,70,7.0
2024-03-18,Luis,81,2.0
2024-12-15,Luis,77,1.0
2024-10-02,Luis,77,7.0
2024-04-21,Luis,85,3.0
2024-05-26,Luis,76,4.0
2024-05-13,Luis,89,3.0
2024-06-25,Luis,99,4.0
2024-05-24,Luis,86,1.0
2024-12-04,Luis,85,2.0
2024-01-26,Luis,79,1.0
2024-01-18,Luis,94,6.0
2024-01-25,Luis,89,4.0
2024-02-21,Luis,98,3.0
2024-12-16,Luis,79,1.0
2024-09-04,Luis,75,8.0
2024-07-13,Luis,71,7.0
2024-05-30,Luis,96,4.0
2024-11-25,Luis,100,3.0
2024-08-15,Luis,84,4.0
2024-11-13,Luis,75,6.0
2024-12-14,Luis,100,6.0
2024-01-27,Luis,72,1.0
2024-01-14,Luis,78,3.0
2024-08-12,Luis,73,8.0
2024-11-06,Luis,98,7.0
2024-01-08,Luis,97,3.0
2024-08-18,Luis,92,6.0
2024-10-29,Luis,86,4.0
2024-08-30,Luis,91,3.0
2024-06-19,Luis,93,2.0
2024-06-22,Luis,96,3.0
2024-09-06,Luis,73,3.0
2024-04-26,Luis,86,5.0
