ID,Nombre,Apellido,Fecha de Nacimiento,Género,Dirección,Teléfono,Correo Electrónico,Puesto,Departamento,Fecha de Contratación,Tipo de Contrato,Turno de Trabajo,Supervisor,Estado de Empleo
31,Charles,Pollard,1980-10-06,Masculino,"5390 Murphy Fall Apt. 477
Larsenview, AZ 27315",(281)737-1108,roger61@example.org,Neurosurgeon,Producción,2015-11-10,Temporal,Rotativo,Douglas Harris,Retirado
32,Ana,Garcia,1960-04-30,Femenino,"8499 Mary Crossroad Apt. 318
Rosalesberg, MS 96874",(756)480-0079,katelynmatthews@example.com,Ship broker,Logística,2021-07-03,A tiempo parcial,Nocturno,Patrick Bishop,En licencia
33,Samantha,Gray,1967-07-21,Masculino,"33904 Jackson Squares
Teresatown, CT 17852",+1-706-475-9074,ychambers@example.com,Records manager,Logística,2024-03-30,Temporal,Rotativo,Lonnie Henderson,Activo
34,Denise,Smith,1971-10-09,Masculino,"2685 Johnson River Suite 364
New Donna, PR 28082",(660)746-8546,theresathomas@example.com,Armed forces training and education officer,Calidad,2017-03-21,A tiempo parcial,Rotativo,Robert Stone,En licencia
35,Scott,Harrison,1973-02-01,Masculino,"794 Curry Track Suite 758
East Marcus, VI 66445",+1-346-241-5074x9767,dylanbrown@example.net,Race relations officer,Producción,2017-10-02,Permanente,Nocturno,Sharon Barnes,Activo
36,Deborah,Johnson,1997-11-30,Masculino,"2896 Pamela Lodge Apt. 682
Annahaven, DC 45192",4174602566,joanna37@example.com,Art therapist,Administración,2023-07-20,A tiempo parcial,Diurno,Diane Tate,Activo
37,Timothy,Wagner,1965-07-04,Masculino,"2138 Mary Point Apt. 132
Stoneton, DC 36087",+1-646-503-3951x22536,andrewstephenson@example.net,Animal technologist,Mantenimiento,2019-06-07,Temporal,Nocturno,Joshua Johnston,En licencia
38,Brian,Rose,1965-07-07,Masculino,"19664 Rowland Drive
Alisonfurt, AZ 61678",233-382-9219x35559,isabelhayes@example.org,Psychiatric nurse,Producción,2019-07-03,Temporal,Nocturno,Krystal Gonzales,Activo
39,Margaret,Wagner,1996-03-08,Masculino,"5205 Julie Rue
Adamtown, VI 47990",885.663.8299x963,bakerkimberly@example.com,Optometrist,Administración,2019-06-07,A tiempo parcial,Nocturno,Dr. Christine Owens MD,En licencia
40,Lisa,Palmer,1962-09-08,Femenino,"08538 Morales Roads
East Lee, TX 02795",(874)860-3516,ngould@example.net,"Scientist, marine",Logística,2016-10-05,Permanente,Diurno,Juan Cook,Activo
41,Anna,Perry,1958-09-22,Masculino,"41775 Jorge Crossroad Suite 173
Port Robert, AZ 81535",001-451-594-4721x45740,blewis@example.com,Archaeologist,Calidad,2023-02-12,Permanente,Diurno,Levi Thomas,Activo
42,Jonathan,Berger,2001-06-12,Masculino,"2055 David Drive
East Brandon, FL 61585",9064303256,dylan17@example.com,"Investment banker, corporate",Administración,2017-05-17,A tiempo parcial,Diurno,Megan Baker,En licencia
43,Keith,Hansen,1962-10-05,Femenino,"0911 Gonzalez Ramp
Lake Lisaview, NY 81552",(732)525-9282,xlynch@example.net,Archaeologist,Mantenimiento,2020-02-15,Temporal,Rotativo,Brandon Lopez,Activo
44,Trevor,Jimenez,1976-02-15,Femenino,"5157 Evans Corner
Goldenmouth, CO 73385",001-909-517-5718,ehernandez@example.net,Agricultural consultant,Logística,2014-11-10,Temporal,Rotativo,Melody Clark,Activo
45,Amber,Esparza,1978-06-21,Femenino,"Unit 6714 Box 5594
DPO AE 90547",401.892.2646,trevinobarbara@example.net,Photographer,Producción,2020-10-02,A tiempo parcial,Nocturno,Dave Little,Retirado
46,Vanessa,Mills,1971-01-08,Masculino,"3240 Ramirez Isle Suite 823
New Jenniferton, PW 40922",731-734-5253,bharper@example.com,Forensic psychologist,Producción,2020-06-18,Permanente,Nocturno,Samantha Daniel,Retirado
47,Julie,Roberts,1973-05-11,Masculino,"430 Green Junctions
Lake Jenniferstad, NM 91484",535-375-8656,williamrogers@example.com,Health and safety inspector,Producción,2018-12-12,Permanente,Diurno,Kurt Perez,En licencia
48,Audrey,Adams,1968-11-15,Masculino,"19609 Hannah Causeway
Cookmouth, VA 39765",8453509071,danderson@example.com,"Doctor, hospital",Mantenimiento,2016-03-02,Temporal,Nocturno,Debra Mitchell,En licencia
49,Brian,Harris,1990-05-29,Masculino,"603 Crystal Forges Apt. 579
Hodgefort, IL 28333",4829752472,davidsonlinda@example.com,Office manager,Mantenimiento,2015-11-16,Permanente,Nocturno,Lauren Rodriguez,Activo
50,Marie,Hunter,2002-05-12,Masculino,"20789 Karen Grove
Curtisland, OR 34412",(328)216-6699x7947,murphypaula@example.org,"Exhibitions officer, museum/gallery",Producción,2023-12-09,Temporal,Diurno,Krista Mitchell,Retirado
51,Lauren,Jackson,1978-10-07,Masculino,"1436 Jeremy Street
East Kaylaberg, GA 28041",001-367-664-5685x4354,paul50@example.net,Colour technologist,Administración,2020-03-27,A tiempo parcial,Diurno,Karen Gray,En licencia
52,Kristin,Mccoy,1980-04-17,Masculino,"55867 Johnston Branch
East Robertfort, ME 44678",527-665-6304x94330,james85@example.net,"Civil engineer, contracting",Calidad,2023-04-04,Temporal,Diurno,Christopher Stewart,Activo
53,Jeffery,Armstrong,1981-12-03,Masculino,"215 Christina Crescent
Chanchester, MO 47003",001-349-731-2116x1342,ivananderson@example.net,Cartographer,Logística,2017-02-08,A tiempo parcial,Nocturno,Christopher Rivas,En licencia
54,Justin,Lozano,1997-12-29,Masculino,"6543 Regina Centers
Paulshire, RI 03539",(916)694-9717,christopherhurst@example.net,Insurance underwriter,Calidad,2015-10-01,Temporal,Rotativo,Anthony Jennings,En licencia
55,Misty,Price,1958-07-20,Masculino,"8678 Kathryn Harbor Suite 527
Mendozashire, WY 67114",354.778.2054x426,smithbrandon@example.org,"Psychologist, sport and exercise",Producción,2015-06-07,A tiempo parcial,Rotativo,Penny Swanson,Retirado
56,Elizabeth,Martinez,1999-08-18,Masculino,"191 Matthew Vista
Port David, TN 80462",001-972-543-1172x232,vkelly@example.org,Film/video editor,Logística,2018-03-24,Permanente,Diurno,Kimberly Bailey,Retirado
57,Jacob,Griffin,1990-01-19,Masculino,"822 David Highway Apt. 841
North Victoria, RI 78320",361.418.5228,nathan71@example.net,"Psychologist, forensic",Mantenimiento,2023-10-27,A tiempo parcial,Rotativo,Pamela Harris,En licencia
58,Jennifer,Guerra,1971-07-20,Masculino,"PSC 2752, Box 9111
APO AA 17455",977-676-4048x12046,wponce@example.net,"Designer, multimedia",Calidad,2015-09-19,Temporal,Diurno,Jonathan Herman,Retirado
59,Carolyn,Bond,1989-10-30,Masculino,"7803 Murillo Common Apt. 176
North Jessicafurt, NV 60015",001-332-986-5512x573,kellymaria@example.org,Television production assistant,Mantenimiento,2017-11-24,Permanente,Rotativo,Jessica Dodson,Activo
60,Tiffany,Carney,1998-08-14,Masculino,"6986 Whitehead Inlet
Johntown, GA 85411",405-416-6413x8404,kshah@example.org,Hydrographic surveyor,Producción,2015-11-30,Permanente,Nocturno,Christina Tapia,En licencia
61,Michael,Becker,1972-10-29,Masculino,"80532 Michael Road
Lake Christy, CA 28287",+1-819-478-1485x3057,tbrown@example.com,Dancer,Administración,2021-02-09,A tiempo parcial,Nocturno,Anthony Payne,Retirado
62,Lauren,Goodwin,1987-08-07,Femenino,"927 David Gateway Apt. 431
Mariaport, CA 52587",001-769-589-4181x37135,christophercortez@example.org,Operations geologist,Logística,2017-02-25,A tiempo parcial,Nocturno,Clinton Wood,En licencia
63,Victor,Salas,1975-11-03,Masculino,"7899 Ryan Haven Suite 320
North Tammyfort, UT 18922",001-741-729-3092x569,ashley07@example.com,Wellsite geologist,Calidad,2019-12-24,A tiempo parcial,Rotativo,Jacob Taylor,En licencia
64,Linda,Berry,1964-08-02,Masculino,"152 Hunt Dam Apt. 158
North Jennifer, VA 40828",+1-241-410-8653x432,mschmidt@example.org,Research scientist (maths),Producción,2019-10-19,Permanente,Nocturno,Shawn King,Retirado
65,Matthew,Alvarado,2001-12-15,Masculino,"698 Scott Pike
Lake Francisco, PW 05009",7416059414,collinsmark@example.org,Cartographer,Mantenimiento,2016-04-22,Temporal,Diurno,Glenn Ross,Activo
66,Dennis,Taylor,1978-03-27,Masculino,"57768 Leach Estates
Antonioville, FL 68480",+1-887-283-1175x01384,maldonadodustin@example.org,Geophysical data processor,Producción,2024-04-09,A tiempo parcial,Nocturno,Thomas Smith,En licencia
67,Troy,Gonzales,1988-09-20,Femenino,"71927 Brandi Valley Apt. 793
Lisaborough, OH 58518",(452)634-0592,julie67@example.com,"Horticulturist, commercial",Administración,2022-03-10,Temporal,Rotativo,Rodney Brown,Activo
68,Miguel,Hatfield,1979-09-21,Masculino,"78061 Sharp Plaza
East Meredith, MS 92380",+1-243-206-3961x8220,mhancock@example.com,"Engineer, production",Administración,2021-07-26,A tiempo parcial,Nocturno,Donna Smith,En licencia
69,Julie,Alvarado,1959-09-10,Femenino,"648 Peck Burgs Suite 701
Taylorside, NC 27946",278-410-9344,josephjanet@example.com,Catering manager,Administración,2020-12-10,Temporal,Rotativo,Earl Robinson,Activo
70,Kayla,Nelson,1990-07-03,Femenino,"7229 Alicia Burgs Apt. 268
West April, AL 71548",6647889539,wwheeler@example.com,Biomedical engineer,Logística,2021-02-24,Permanente,Nocturno,Hayden Herrera,En licencia
71,Rita,Hayes,1979-02-21,Masculino,"083 Brown Branch
West Michael, MH 47227",001-223-690-9633,alvarezalyssa@example.com,"Therapist, speech and language",Logística,2020-12-16,Permanente,Nocturno,Shelley Holmes,En licencia
72,Brittney,Murphy,2000-07-05,Masculino,"3620 Amber Ports Suite 662
Port John, GU 16435",(231)448-0068,bwillis@example.com,Geographical information systems officer,Administración,2022-05-26,A tiempo parcial,Nocturno,Jacob Moore,Activo
73,Peter,Leon,1959-11-23,Masculino,"81760 Natalie Forks Suite 534
East Jamesland, MT 35585",846.871.5171x7123,davisrichard@example.net,Product designer,Producción,2023-09-14,Permanente,Rotativo,Patrick Medina DVM,Retirado
74,Emily,Williams,1990-06-27,Masculino,"9231 Devin Streets Apt. 829
Lake Annette, FM 76610",001-882-606-4349x5678,patricia82@example.net,Water engineer,Mantenimiento,2021-06-28,A tiempo parcial,Nocturno,Joshua Allen,En licencia
75,Douglas,Harris,1982-03-02,Masculino,"234 Nathan Lodge
New Kimberlyton, WA 34613",871-790-0824,ichase@example.org,Clinical cytogeneticist,Mantenimiento,2018-10-21,Permanente,Diurno,Michael Romero,Retirado
76,Amanda,Johnson,2002-03-24,Masculino,"473 Carrie Port
Lake Gabrielville, MP 31918",(299)417-8846x9368,reedderek@example.com,Chartered certified accountant,Producción,2016-07-30,A tiempo parcial,Nocturno,Sarah Montgomery,En licencia
77,Connie,Webb,2000-08-09,Femenino,"433 Martinez Ridges
Nicholasfurt, DE 40313",001-537-872-4402,mike09@example.com,Graphic designer,Producción,2015-04-18,Permanente,Nocturno,Christopher Schroeder,Retirado
78,Daniel,Gonzales,1961-04-05,Masculino,"5469 Kimberly Parks
Cervantesborough, CT 47519",(579)983-5295x6170,harveyandrea@example.org,Event organiser,Administración,2021-08-14,Permanente,Diurno,Kathleen Watson,Retirado
79,Kelly,Sutton,1977-11-15,Masculino,"9057 James Crest
Rebekahberg, GU 28714",+1-908-586-0332x7013,ddiaz@example.org,Herpetologist,Logística,2016-03-27,A tiempo parcial,Rotativo,Melissa Wilson,En licencia
80,Stephanie,Benitez,1961-06-20,Femenino,"056 Ryan Vista Apt. 614
New Jenna, SC 04021",(785)502-1237x8362,clarkdeanna@example.com,Cartographer,Producción,2023-12-17,Permanente,Nocturno,Benjamin Holmes,Retirado
81,Charles,Santos,1958-09-25,Femenino,"52140 Burch Expressway Suite 024
East Renee, KY 70706",001-996-922-0333,angelastephenson@example.org,Occupational psychologist,Logística,2021-02-22,Permanente,Nocturno,Robert Freeman,Retirado
82,Michael,Duarte,1981-12-21,Masculino,"1391 Mark Estate
Haleton, NE 39835",747.659.6035x44037,troy10@example.com,Civil Service administrator,Administración,2018-03-06,A tiempo parcial,Diurno,Desiree Russell,Retirado
83,Andrea,Vargas,1989-05-23,Masculino,"091 Jacob Drives
East Lindastad, MA 47017",370.769.1958x8733,biancahodges@example.net,Regulatory affairs officer,Mantenimiento,2016-10-30,A tiempo parcial,Diurno,Michael Rubio,Activo
84,Amanda,Watts,1979-06-20,Femenino,"3104 Diaz Corners
North Andreafurt, WV 82310",536-237-0466x4108,georgewilliamson@example.com,"Radiographer, diagnostic",Logística,2022-07-21,Permanente,Diurno,Katherine Gaines,Activo
85,Stephanie,Jones,1997-08-12,Femenino,"93141 Downs Radial
East Denisemouth, AK 58425",719-305-2104x1241,joseph34@example.org,"Producer, television/film/video",Calidad,2018-04-30,Permanente,Diurno,William Jenkins,Retirado
86,Jennifer,Rose,1972-01-18,Femenino,"868 Barnett Hollow
North Josephfort, GA 10177",311-864-0064x767,wrightjohn@example.org,Broadcast journalist,Administración,2018-12-14,Temporal,Diurno,William Robinson,Retirado
87,Brian,Harrell,2002-08-13,Masculino,"342 Steven Circles Apt. 914
Port Jose, TX 83369",425.617.4962,richard83@example.com,Curator,Mantenimiento,2019-07-10,A tiempo parcial,Diurno,Jeremy Porter,Activo
88,John,Jones,2005-04-26,Masculino,"55450 Matthew Park
Scottton, PR 04639",+1-482-885-4658,kellyelizabeth@example.net,Tourist information centre manager,Logística,2022-01-30,Temporal,Rotativo,Alejandra Friedman,Retirado
89,Vincent,Cruz,2004-02-10,Masculino,"Unit 6762 Box 8417
DPO AA 21891",(519)876-2224,brandonjones@example.org,Meteorologist,Mantenimiento,2022-10-23,Permanente,Nocturno,Mackenzie Martin,Activo
90,Anna,Humphrey,1985-12-19,Femenino,"782 Smith Mountain Suite 083
New Elizabeth, IN 08620",858-538-5979x304,jonathankaufman@example.org,"Psychologist, counselling",Logística,2016-01-24,Permanente,Diurno,Hannah Brown,Retirado
91,Alison,Henderson,2000-09-08,Femenino,"452 Owen Mill
East Jonathanport, ID 29352",+1-920-794-8829x7892,dylan00@example.com,Passenger transport manager,Logística,2022-03-03,Permanente,Rotativo,Holly Smith,Retirado
92,Rachel,Thompson,1980-07-11,Femenino,"USS Warren
FPO AE 62105",+1-233-222-9834x267,qbolton@example.net,Learning disability nurse,Mantenimiento,2019-05-13,Temporal,Diurno,Nancy Blankenship,Activo
93,Erin,Collins,1990-02-28,Masculino,"22887 Anderson Run
Hallfurt, MT 11494",272-544-5309x287,anthonyflores@example.net,Farm manager,Logística,2018-11-25,Temporal,Nocturno,Leslie Goodwin,Retirado
94,Dana,Daniels,2001-10-26,Masculino,"616 Jason Wells
North Samuelside, NH 78263",560.856.2738,sherrygonzalez@example.net,Science writer,Administración,2019-10-19,Permanente,Nocturno,Derrick Harris,Activo
95,Erika,Gardner,1999-10-31,Femenino,"06336 Hunter Grove
Lake Debbie, SD 93037",001-518-900-2437x28497,kennethyoung@example.net,"Accountant, chartered public finance",Producción,2019-08-25,Temporal,Rotativo,Noah Brown,En licencia
96,Jessica,Smith,1987-07-12,Masculino,"369 Berry Wall Suite 018
Ariasmouth, SC 33584",996.858.9763x58440,erika74@example.com,Medical secretary,Logística,2020-11-25,A tiempo parcial,Diurno,Brandy Deleon,En licencia
97,Crystal,Sanchez,1976-01-20,Femenino,"Unit 9747 Box 2318
DPO AA 63877",6099300856,changmargaret@example.org,"Designer, interior/spatial",Administración,2022-02-06,Permanente,Rotativo,Kathryn Allison,En licencia
98,Dakota,Ponce,1976-02-04,Femenino,"78272 Janet Causeway Apt. 270
East Thomas, MO 72197",(411)201-5279x878,ariaskevin@example.org,Retail buyer,Producción,2015-03-21,A tiempo parcial,Rotativo,Billy Smith,Activo
99,Mikayla,Gilmore,1982-03-23,Femenino,"0892 John Overpass Apt. 391
South Joel, KS 30609",821.229.2539,hallmegan@example.net,"Engineer, civil (consulting)",Calidad,2021-08-29,Permanente,Diurno,John Wheeler,En licencia
100,Christopher,Gallegos,2003-11-04,Femenino,"720 Hayes Fort Suite 171
South Stephaniefort, WA 97343",640.206.0832x382,holmesangela@example.com,Fine artist,Calidad,2023-03-05,A tiempo parcial,Nocturno,Sherri Wilson,En licencia
101,James,Bowen,1976-09-16,Femenino,"69144 Kimberly Junctions Apt. 200
Port Dylan, CA 42233",(225)382-4067,collin97@example.net,Manufacturing systems engineer,Logística,2022-07-31,Permanente,Rotativo,Richard Dunlap,Activo
102,Zachary,Hunter,1997-05-08,Masculino,"499 Todd Ports
East Micheleburgh, SD 19535",+1-346-352-6871,joseayers@example.org,Airline pilot,Producción,2016-01-06,Permanente,Nocturno,Jerry Cook,Retirado
103,Susan,Walker,1980-01-29,Masculino,"661 Hoffman Pass
North Lori, VA 89170",967-614-3604x248,cbailey@example.org,Television production assistant,Mantenimiento,2023-08-03,A tiempo parcial,Rotativo,Lindsay Hicks,En licencia
104,Ashley,Cooley,1995-12-08,Masculino,"97901 Hays Court Suite 240
South Richardhaven, CO 84168",001-444-966-0613x312,kaufmanmatthew@example.org,Contractor,Logística,2022-01-25,Permanente,Diurno,Scott Zhang,Activo
105,Benjamin,Roth,1977-04-26,Femenino,"474 Burke Lock
Olsonburgh, MH 10592",738.713.4947x764,vincent34@example.org,Audiological scientist,Calidad,2018-09-15,Permanente,Rotativo,Joseph Alexander,Activo
106,Glenn,Mcmahon,2000-08-18,Masculino,"861 Gary Light Suite 332
New Donna, HI 03388",(636)640-3105,bryan82@example.com,"Engineer, building services",Mantenimiento,2020-02-20,Temporal,Rotativo,Olivia Taylor,Retirado
107,Carol,Wright,1983-08-18,Masculino,"75418 Laurie Common Apt. 904
Hicksshire, MS 58506",986.484.9644x8530,swatson@example.com,Armed forces technical officer,Mantenimiento,2016-07-31,Temporal,Nocturno,Kari Barton,Retirado
108,Robert,Lloyd,1974-03-29,Femenino,"638 Robert Lodge
West Jillborough, NJ 87126",001-952-496-2371,brownbruce@example.net,Manufacturing systems engineer,Calidad,2017-06-10,A tiempo parcial,Rotativo,Melanie Smith,Activo
109,Anthony,Bautista,1995-03-24,Masculino,"5592 Jason Neck Apt. 374
Jamesshire, TX 82302",+1-688-430-9326x826,joseph09@example.org,Plant breeder/geneticist,Producción,2017-01-31,Temporal,Rotativo,Stephanie Johnson,Activo
110,Justin,Glass,1976-08-03,Masculino,"PSC 1509, Box 7334
APO AE 94141",(770)371-7218,suzannesexton@example.org,Clinical embryologist,Calidad,2019-06-09,A tiempo parcial,Diurno,Gabriel Walker,En licencia
111,Joshua,Mcclain,2003-10-31,Masculino,"4608 Evans Highway Suite 121
Shannonview, NJ 95096",7924935236,vanderson@example.net,"Engineer, civil (contracting)",Logística,2016-07-25,Permanente,Rotativo,James Moore,Activo
112,Natalie,Walls,1978-02-24,Femenino,"683 Jennifer Road
Browntown, VT 32344",001-554-568-5001x00015,nicolenguyen@example.net,"Biochemist, clinical",Mantenimiento,2020-11-28,Permanente,Nocturno,Shawn Lewis,Activo
113,Angela,Martinez,1994-06-02,Masculino,"9904 Jonathon Plain Suite 730
Coopermouth, TN 10526",984.255.1385,lucascaroline@example.org,Photographer,Producción,2014-08-03,A tiempo parcial,Diurno,Michael Rivera,Retirado
114,Ashley,Brown,1968-01-17,Masculino,"96701 Harper Ramp Apt. 990
Whiteside, PR 65731",601-429-7307,erinbaldwin@example.org,Freight forwarder,Mantenimiento,2020-10-07,Permanente,Nocturno,Jonathan Byrd,En licencia
115,Michelle,Brown,1961-05-09,Masculino,"42583 Sharon Ramp Suite 314
West Steven, IL 23708",(771)543-1118x30924,qlyons@example.net,Recycling officer,Producción,2022-11-13,Permanente,Diurno,Joseph Smith,Activo
116,Tina,Brown,2003-06-08,Femenino,"Unit 1154 Box 4932
DPO AA 17641",001-378-814-8302,joseph79@example.net,Television/film/video producer,Logística,2017-03-26,A tiempo parcial,Rotativo,John Williams,Activo
117,Shelly,Johnson,1981-06-28,Femenino,"51214 Karen Trace
Jonesmouth, AK 33318",(362)854-1076,benitezmaria@example.org,Lexicographer,Administración,2021-08-01,Temporal,Nocturno,Susan Bush,En licencia
118,Lynn,Garza,1960-10-30,Masculino,"92450 Hunt Street Apt. 607
Lake Robert, NV 64908",001-666-617-0212,marcreed@example.com,Records manager,Logística,2023-05-03,Permanente,Rotativo,Tanner Smith,Activo
119,Melissa,Hoffman,1970-11-26,Femenino,"242 Page View
South Jamesville, NE 64676",(291)402-8052,emilyhull@example.net,Optometrist,Calidad,2023-09-05,A tiempo parcial,Diurno,Frederick Elliott,Activo
120,Amanda,Brown,1998-08-04,Masculino,"120 Robinson Parkway
Port Timothyview, NM 09683",(274)731-9806,walkerjason@example.com,"Engineer, maintenance (IT)",Administración,2018-07-19,Temporal,Nocturno,Roger Cline,Activo
